id,created_at,slug,des,data
4763,2023-05-09 10:32:06.549422+00,ceiling-lights,,"{""type"":""collection"",""handle"":""ceiling-lights""}"
4764,2023-05-09 10:32:06.549422+00,floor-lamps,,"{""type"":""collection"",""handle"":""floor-lamps""}"
4765,2023-05-09 10:32:06.549422+00,table-lamps,,"{""type"":""collection"",""handle"":""table-lamps""}"
4766,2023-05-09 10:32:06.549422+00,indian-rugs,,"{""type"":""collection"",""handle"":""indian-rugs""}"
4767,2023-05-09 10:32:06.549422+00,gear,,"{""type"":""collection"",""handle"":""gear""}"
4768,2023-05-09 10:32:06.549422+00,conference-table,,"{""type"":""collection"",""handle"":""conference-table""}"
4769,2023-05-09 10:32:06.549422+00,modern-desk,,"{""type"":""collection"",""handle"":""modern-desk""}"
4770,2023-05-09 10:32:06.549422+00,side-tables,,"{""type"":""collection"",""handle"":""side-tables""}"
4771,2023-05-09 10:32:06.549422+00,modern-coffee-tables,,"{""type"":""collection"",""handle"":""modern-coffee-tables""}"
4772,2023-05-09 10:32:06.549422+00,modern-dining-tables,,"{""type"":""collection"",""handle"":""modern-dining-tables""}"
4773,2023-05-09 10:32:06.549422+00,modern-bench,,"{""type"":""collection"",""handle"":""modern-bench""}"
4774,2023-05-09 10:32:06.549422+00,modern-office-chair,,"{""type"":""collection"",""handle"":""modern-office-chair""}"
4775,2023-05-09 10:32:06.549422+00,modern-rocking-chairs,,"{""type"":""collection"",""handle"":""modern-rocking-chairs""}"
4776,2023-05-09 10:32:06.549422+00,modern-stools,,"{""type"":""collection"",""handle"":""modern-stools""}"
4777,2023-05-09 10:32:06.549422+00,modern-bar-stools,,"{""type"":""collection"",""handle"":""modern-bar-stools""}"
4778,2023-05-09 10:32:06.549422+00,modern-lounge-chairs,,"{""type"":""collection"",""handle"":""modern-lounge-chairs""}"
4779,2023-05-09 10:32:06.549422+00,modern-high-armchairs,,"{""type"":""collection"",""handle"":""modern-high-armchairs""}"
4780,2023-05-09 10:32:06.549422+00,dining-chairs,,"{""type"":""collection"",""handle"":""dining-chairs""}"
4781,2023-05-09 10:32:06.549422+00,modern-armchairs,,"{""type"":""collection"",""handle"":""modern-armchairs""}"
4782,2023-05-09 10:32:06.549422+00,chaise-longue-day-beds,,"{""type"":""collection"",""handle"":""chaise-longue-day-beds""}"
4783,2023-05-09 10:32:06.549422+00,l-shape-sofas,,"{""type"":""collection"",""handle"":""l-shape-sofas""}"
4784,2023-05-09 10:32:06.549422+00,3-seat-sofas,,"{""type"":""collection"",""handle"":""3-seat-sofas""}"
4785,2023-05-09 10:32:06.549422+00,2-seat-sofas,,"{""type"":""collection"",""handle"":""2-seat-sofas""}"
4786,2023-05-09 10:32:06.549422+00,style-arne-jacobsen-aj-style-royal-lamp,,"{""type"":""product"",""handle"":""style-arne-jacobsen-aj-style-royal-lamp"",""id"":""prod_01GPR41DVYKYHTM4MYCS68617M""}"
4787,2023-05-09 10:32:06.549422+00,style-arne-jacobsen-aj-style-royal-lamp-black,,"{""type"":""variant"",""product"":""prod_01GPR41DVYKYHTM4MYCS68617M"",""productHandle"":""style-arne-jacobsen-aj-style-royal-lamp"",""handle"":""style-arne-jacobsen-aj-style-royal-lamp-black"",""variantId"":""variant_01GPR41DWBQAHT3RBAFBD6DZ6N""}"
4788,2023-05-09 10:32:06.549422+00,style-arne-jacobsen-aj-style-royal-lamp-white,,"{""type"":""variant"",""product"":""prod_01GPR41DVYKYHTM4MYCS68617M"",""productHandle"":""style-arne-jacobsen-aj-style-royal-lamp"",""handle"":""style-arne-jacobsen-aj-style-royal-lamp-white"",""variantId"":""variant_01GPR41DWD4GEHA27C0KFCN12K""}"
4789,2023-05-09 10:32:06.549422+00,white-style-bubble-apple-penadnt-george-nelson-reproduction,,"{""type"":""product"",""handle"":""white-style-bubble-apple-penadnt-george-nelson-reproduction"",""id"":""prod_01GPR41DHVRYY9PSEZ8S4J31Q3""}"
4790,2023-05-09 10:32:06.549422+00,white-style-bubble-apple-penadnt-george-nelson-reproduction-1,,"{""type"":""variant"",""product"":""prod_01GPR41DHVRYY9PSEZ8S4J31Q3"",""productHandle"":""white-style-bubble-apple-penadnt-george-nelson-reproduction"",""handle"":""white-style-bubble-apple-penadnt-george-nelson-reproduction-1"",""variantId"":""variant_01GPR41DJ6XEZJ2NEJH0AV01DK""}"
4791,2023-05-09 10:32:06.549422+00,style-bubble-lamp-cigar-george-nelson,,"{""type"":""product"",""handle"":""style-bubble-lamp-cigar-george-nelson"",""id"":""prod_01GPR41D726PE5YGBK71WHR8RB""}"
4792,2023-05-09 10:32:06.549422+00,white-style-bubble-lamp-cigar-george-nelson,,"{""type"":""variant"",""product"":""prod_01GPR41D726PE5YGBK71WHR8RB"",""productHandle"":""style-bubble-lamp-cigar-george-nelson"",""handle"":""white-style-bubble-lamp-cigar-george-nelson"",""variantId"":""variant_01GPR41D7FX086QSCYVQC8HJ7Z""}"
4793,2023-05-09 10:32:06.549422+00,style-bubble-lamp-cigar-george-nelson-white,,"{""type"":""variant"",""product"":""prod_01GPR41D726PE5YGBK71WHR8RB"",""productHandle"":""style-bubble-lamp-cigar-george-nelson"",""handle"":""style-bubble-lamp-cigar-george-nelson-white"",""variantId"":""variant_01GPR41D7GJ250S8PZXDBKGWXA""}"
4794,2023-05-09 10:32:06.549422+00,charlottenborg-lamp,,"{""type"":""product"",""handle"":""charlottenborg-lamp"",""id"":""prod_01GPR41CWN9BMED1GPD2BVDSBV""}"
4795,2023-05-09 10:32:06.549422+00,charlottenborg-lamp-white,,"{""type"":""variant"",""product"":""prod_01GPR41CWN9BMED1GPD2BVDSBV"",""productHandle"":""charlottenborg-lamp"",""handle"":""charlottenborg-lamp-white"",""variantId"":""variant_01GPR41CWZZAV32RRYYN34V3ZB""}"
4796,2023-05-09 10:32:06.549422+00,alvar-aalto-reproduction-beehive-lamp-a331,,"{""type"":""product"",""handle"":""alvar-aalto-reproduction-beehive-lamp-a331"",""id"":""prod_01GPR41CHGG41GB563W6DYADM5""}"
4797,2023-05-09 10:32:06.549422+00,alvar-aalto-reproduction-beehive-lamp-a331-black,,"{""type"":""variant"",""product"":""prod_01GPR41CHGG41GB563W6DYADM5"",""productHandle"":""alvar-aalto-reproduction-beehive-lamp-a331"",""handle"":""alvar-aalto-reproduction-beehive-lamp-a331-black"",""variantId"":""variant_01GPR41CHXNPKWN0FK0D8AB74B""}"
4798,2023-05-09 10:32:06.549422+00,alvar-aalto-reproduction-beehive-lamp-a331-white,,"{""type"":""variant"",""product"":""prod_01GPR41CHGG41GB563W6DYADM5"",""productHandle"":""alvar-aalto-reproduction-beehive-lamp-a331"",""handle"":""alvar-aalto-reproduction-beehive-lamp-a331-white"",""variantId"":""variant_01GPR41CHYKDE38SYMG4QMVRB8""}"
4799,2023-05-09 10:32:06.549422+00,topan-vp6-pendant-lamp,,"{""type"":""product"",""handle"":""topan-vp6-pendant-lamp"",""id"":""prod_01GPR41BZMKJMQHN8RJS014MBH""}"
4800,2023-05-09 10:32:06.549422+00,topan-vp6-pendant-lamp-black,,"{""type"":""variant"",""product"":""prod_01GPR41BZMKJMQHN8RJS014MBH"",""productHandle"":""topan-vp6-pendant-lamp"",""handle"":""topan-vp6-pendant-lamp-black"",""variantId"":""variant_01GPR41C0JGV6VYY7D3XNJXTM2""}"
4801,2023-05-09 10:32:06.549422+00,topan-vp6-pendant-lamp-white,,"{""type"":""variant"",""product"":""prod_01GPR41BZMKJMQHN8RJS014MBH"",""productHandle"":""topan-vp6-pendant-lamp"",""handle"":""topan-vp6-pendant-lamp-white"",""variantId"":""variant_01GPR41C0MXQG8ANR6P2P28PMS""}"
4802,2023-05-09 10:32:06.549422+00,topan-vp6-pendant-lamp-orange,,"{""type"":""variant"",""product"":""prod_01GPR41BZMKJMQHN8RJS014MBH"",""productHandle"":""topan-vp6-pendant-lamp"",""handle"":""topan-vp6-pendant-lamp-orange"",""variantId"":""variant_01GPR41C0NN496SNTZP9D74ZF1""}"
4803,2023-05-09 10:32:06.549422+00,topan-vp6-pendant-lamp-red,,"{""type"":""variant"",""product"":""prod_01GPR41BZMKJMQHN8RJS014MBH"",""productHandle"":""topan-vp6-pendant-lamp"",""handle"":""topan-vp6-pendant-lamp-red"",""variantId"":""variant_01GPR41C0Q4H4EG12QFZ5K1XYX""}"
4804,2023-05-09 10:32:06.549422+00,topan-vp6-pendant-lamp-green,,"{""type"":""variant"",""product"":""prod_01GPR41BZMKJMQHN8RJS014MBH"",""productHandle"":""topan-vp6-pendant-lamp"",""handle"":""topan-vp6-pendant-lamp-green"",""variantId"":""variant_01GPR41C0RN21FJ1JF5P7CG95F""}"
4805,2023-05-09 10:32:06.549422+00,topan-vp6-pendant-lamp-blue,,"{""type"":""variant"",""product"":""prod_01GPR41BZMKJMQHN8RJS014MBH"",""productHandle"":""topan-vp6-pendant-lamp"",""handle"":""topan-vp6-pendant-lamp-blue"",""variantId"":""variant_01GPR41C0T8ZD3APH5TH54BWKC""}"
4806,2023-05-09 10:32:06.549422+00,topan-vp6-pendant-lamp-yellow,,"{""type"":""variant"",""product"":""prod_01GPR41BZMKJMQHN8RJS014MBH"",""productHandle"":""topan-vp6-pendant-lamp"",""handle"":""topan-vp6-pendant-lamp-yellow"",""variantId"":""variant_01GPR41C0V24Y6GM6KBFWE2DPC""}"
4807,2023-05-09 10:32:06.549422+00,neils-bendtsen-inspired-desk-1,,"{""type"":""product"",""handle"":""neils-bendtsen-inspired-desk-1"",""id"":""prod_01GPR41BMAGKKMX9Z8DD9WC7B1""}"
4808,2023-05-09 10:32:06.549422+00,neils-bendtsen-inspired-desk,,"{""type"":""variant"",""product"":""prod_01GPR41BMAGKKMX9Z8DD9WC7B1"",""productHandle"":""neils-bendtsen-inspired-desk-1"",""handle"":""neils-bendtsen-inspired-desk"",""variantId"":""variant_01GPR41BMNVRFJ6A4SD6DP7VR6""}"
4809,2023-05-09 10:32:06.549422+00,style-pk-61-coffee-table-poul-kjaerholm-2,,"{""type"":""product"",""handle"":""style-pk-61-coffee-table-poul-kjaerholm-2"",""id"":""prod_01GPR41B9S2AWFHVPYCE7MEJ4T""}"
4810,2023-05-09 10:32:06.549422+00,style-pk-61-coffee-table-poul-kjaerholm-white-marble,,"{""type"":""variant"",""product"":""prod_01GPR41B9S2AWFHVPYCE7MEJ4T"",""productHandle"":""style-pk-61-coffee-table-poul-kjaerholm-2"",""handle"":""style-pk-61-coffee-table-poul-kjaerholm-white-marble"",""variantId"":""variant_01GPR41BA9Z0MWNA6ZKKDDBQZS""}"
4811,2023-05-09 10:32:06.549422+00,style-pk-61-coffee-table-poul-kjaerholm-black-marble,,"{""type"":""variant"",""product"":""prod_01GPR41B9S2AWFHVPYCE7MEJ4T"",""productHandle"":""style-pk-61-coffee-table-poul-kjaerholm-2"",""handle"":""style-pk-61-coffee-table-poul-kjaerholm-black-marble"",""variantId"":""variant_01GPR41BABCR718SQDGR5WGNM4""}"
4812,2023-05-09 10:32:06.549422+00,star-marble-coffee-table,,"{""type"":""product"",""handle"":""star-marble-coffee-table"",""id"":""prod_01GPR41AZTTRQ4VSZB5H0CE1D2""}"
4813,2023-05-09 10:32:06.549422+00,star-marble-coffee-table-white-marble,,"{""type"":""variant"",""product"":""prod_01GPR41AZTTRQ4VSZB5H0CE1D2"",""productHandle"":""star-marble-coffee-table"",""handle"":""star-marble-coffee-table-white-marble"",""variantId"":""variant_01GPR41B04T578J4YV7HDES4ZQ""}"
4814,2023-05-09 10:32:06.549422+00,star-triangular-coffee-table-mobelaris,,"{""type"":""product"",""handle"":""star-triangular-coffee-table-mobelaris"",""id"":""prod_01GPR41AP1ZNTZZ9V2GD0EX6SA""}"
4815,2023-05-09 10:32:06.549422+00,star-triangular-coffee-table-walnut,,"{""type"":""variant"",""product"":""prod_01GPR41AP1ZNTZZ9V2GD0EX6SA"",""productHandle"":""star-triangular-coffee-table-mobelaris"",""handle"":""star-triangular-coffee-table-walnut"",""variantId"":""variant_01GPR41APC24JXMH0E3Y0CM8HV""}"
4816,2023-05-09 10:32:06.549422+00,star-round-coffee-table-mobelaris,,"{""type"":""product"",""handle"":""star-round-coffee-table-mobelaris"",""id"":""prod_01GPR41ABDP8P7R9XAGAM0VJJ2""}"
4817,2023-05-09 10:32:06.549422+00,star-round-coffee-table-walnut,,"{""type"":""variant"",""product"":""prod_01GPR41ABDP8P7R9XAGAM0VJJ2"",""productHandle"":""star-round-coffee-table-mobelaris"",""handle"":""star-round-coffee-table-walnut"",""variantId"":""variant_01GPR41ABQFRGSYVK8NB65F7AT""}"
4818,2023-05-09 10:32:06.549422+00,jorgen-coffee-table-mobelaris,,"{""type"":""product"",""handle"":""jorgen-coffee-table-mobelaris"",""id"":""prod_01GPR41A0DQ53WNHA9ATVFZWYK""}"
4819,2023-05-09 10:32:06.549422+00,jorgen-coffee-table-walnut,,"{""type"":""variant"",""product"":""prod_01GPR41A0DQ53WNHA9ATVFZWYK"",""productHandle"":""jorgen-coffee-table-mobelaris"",""handle"":""jorgen-coffee-table-walnut"",""variantId"":""variant_01GPR41A0S91MD5MG292T29PCP""}"
4820,2023-05-09 10:32:06.549422+00,saarinen-tulip-oval-coffee-table-eero-saarinen,,"{""type"":""product"",""handle"":""saarinen-tulip-oval-coffee-table-eero-saarinen"",""id"":""prod_01GPR419NDAYFDVF8ADF2QQ4XD""}"
4821,2023-05-09 10:32:06.549422+00,saarinen-tulip-oval-coffee-table-small-walnut,,"{""type"":""variant"",""product"":""prod_01GPR419NDAYFDVF8ADF2QQ4XD"",""productHandle"":""saarinen-tulip-oval-coffee-table-eero-saarinen"",""handle"":""saarinen-tulip-oval-coffee-table-small-walnut"",""variantId"":""variant_01GPR419NWYXPV81A78BGVJMDK""}"
4822,2023-05-09 10:32:06.549422+00,saarinen-tulip-oval-coffee-table-large-walnut,,"{""type"":""variant"",""product"":""prod_01GPR419NDAYFDVF8ADF2QQ4XD"",""productHandle"":""saarinen-tulip-oval-coffee-table-eero-saarinen"",""handle"":""saarinen-tulip-oval-coffee-table-large-walnut"",""variantId"":""variant_01GPR419NY2MDAH6A5BZBJ7SHA""}"
4823,2023-05-09 10:32:06.549422+00,style-oval-coffee-table-eero-saarinen,,"{""type"":""product"",""handle"":""style-oval-coffee-table-eero-saarinen"",""id"":""prod_01GPR4192QNBVHARTGE0094J5M""}"
4824,2023-05-09 10:32:06.549422+00,style-oval-coffee-table-eero-saarinen-large-white-marble,,"{""type"":""variant"",""product"":""prod_01GPR4192QNBVHARTGE0094J5M"",""productHandle"":""style-oval-coffee-table-eero-saarinen"",""handle"":""style-oval-coffee-table-eero-saarinen-large-white-marble"",""variantId"":""variant_01GPR41934S3DVG0A1WHT6334E""}"
4825,2023-05-09 10:32:06.549422+00,style-around-coffee-table-large-mobelaris,,"{""type"":""product"",""handle"":""style-around-coffee-table-large-mobelaris"",""id"":""prod_01GPR418R7AR71PN1JAT8MF03B""}"
4826,2023-05-09 10:32:06.549422+00,style-around-coffee-table-large-walnut-veneer-mobelaris,,"{""type"":""variant"",""product"":""prod_01GPR418R7AR71PN1JAT8MF03B"",""productHandle"":""style-around-coffee-table-large-mobelaris"",""handle"":""style-around-coffee-table-large-walnut-veneer-mobelaris"",""variantId"":""variant_01GPR418RQ5J790AEYJF2VFMDN""}"
4827,2023-05-09 10:32:06.549422+00,style-around-coffee-table-large-oak-veneer-mobelaris,,"{""type"":""variant"",""product"":""prod_01GPR418R7AR71PN1JAT8MF03B"",""productHandle"":""style-around-coffee-table-large-mobelaris"",""handle"":""style-around-coffee-table-large-oak-veneer-mobelaris"",""variantId"":""variant_01GPR418RRS0G0RHAQRPHS7BYK""}"
4828,2023-05-09 10:32:06.549422+00,theo-desk-solid-american-walnut-mobelaris,,"{""type"":""product"",""handle"":""theo-desk-solid-american-walnut-mobelaris"",""id"":""prod_01GPR418E76B77H7BFRN32XHBY""}"
4829,2023-05-09 10:32:06.549422+00,theo-desk-walnut-veneer,,"{""type"":""variant"",""product"":""prod_01GPR418E76B77H7BFRN32XHBY"",""productHandle"":""theo-desk-solid-american-walnut-mobelaris"",""handle"":""theo-desk-walnut-veneer"",""variantId"":""variant_01GPR418EHY96F98P1QJ0RQXD5""}"
4830,2023-05-09 10:32:06.549422+00,swag-leg-rectangular-dining-table,,"{""type"":""product"",""handle"":""swag-leg-rectangular-dining-table"",""id"":""prod_01GPR41849PH7H3G9WZ38T5P4G""}"
4974,2023-05-09 10:32:06.549422+00,style-charles-eames-dsr-chair-mauve,,"{""type"":""variant"",""product"":""prod_01GPR40NWPB2PY75YS9EYF0EPD"",""productHandle"":""style-charles-eames-dsr-chair"",""handle"":""style-charles-eames-dsr-chair-mauve"",""variantId"":""variant_01GPR40NYAZ3SVM4W2SERYMXA5""}"
4831,2023-05-09 10:32:06.549422+00,swag-leg-rectangular-dining-table-white,,"{""type"":""variant"",""product"":""prod_01GPR41849PH7H3G9WZ38T5P4G"",""productHandle"":""swag-leg-rectangular-dining-table"",""handle"":""swag-leg-rectangular-dining-table-white"",""variantId"":""variant_01GPR4184K6WATBAE1NHHY5EEV""}"
4832,2023-05-09 10:32:06.549422+00,leon-desk-solid-american-walnut-veneer-mobelaris,,"{""type"":""product"",""handle"":""leon-desk-solid-american-walnut-veneer-mobelaris"",""id"":""prod_01GPR417SWMTV2TP7CBX41DGXR""}"
4833,2023-05-09 10:32:06.549422+00,leon-desk-walnut-veneer,,"{""type"":""variant"",""product"":""prod_01GPR417SWMTV2TP7CBX41DGXR"",""productHandle"":""leon-desk-solid-american-walnut-veneer-mobelaris"",""handle"":""leon-desk-walnut-veneer"",""variantId"":""variant_01GPR417T9M690SVMGN4JQJKSA""}"
4834,2023-05-09 10:32:06.549422+00,stretto-desk-large-walnut-veneer-mobelaris,,"{""type"":""product"",""handle"":""stretto-desk-large-walnut-veneer-mobelaris"",""id"":""prod_01GPR417FB4TKKS4CM5KW3SKH0""}"
